date,version,benchmark,time_ns
2026-03-28T01:37:28Z,0.25.3,Ucb1::select (10 arms),0
2026-03-28T01:37:28Z,0.25.3,Ucb1::select (50 arms),0
2026-03-28T01:37:28Z,0.25.3,Orchestrator::new,0
2026-03-28T01:37:28Z,0.25.3,Relay::send throughput,0
2026-03-28T01:37:28Z,0.25.3,rank_agents (10 agents),0
2026-03-28T01:37:28Z,0.25.3,task_json/serialize,0
2026-03-28T01:37:28Z,0.25.3,task_json/deserialize,0
2026-03-28T01:37:28Z,0.25.3,GET /health,0
2026-03-28T01:37:28Z,0.25.3,GET /ready,0
2026-03-28T01:37:28Z,0.25.3,GET /metrics,0
2026-03-28T01:37:28Z,0.25.3,POST /mcp (initialize),0
2026-03-28T01:37:28Z,0.25.3,EchoTool::execute,0
2026-04-02T08:38:58Z,1.0.2,ApprovalGate::request_approval,326
2026-04-02T08:38:58Z,1.0.2,ApprovalGate::submit_decision,323
2026-04-02T08:38:58Z,1.0.2,AuditChain::record throughput,2158
2026-04-02T08:38:58Z,1.0.2,AuditChain::verify (100 entries),87616
2026-04-02T08:38:58Z,1.0.2,AuditChain::verify (1000 entries),881900
2026-04-02T08:38:58Z,1.0.2,audit_recent/recent(10) from 1000 entries,1141
2026-04-02T08:38:58Z,1.0.2,audit_recent/recent(100) from 1000 entries,16227
2026-04-02T08:38:58Z,1.0.2,audit_recent/recent(1000) from 1000 entries,170330
2026-04-02T08:38:58Z,1.0.2,builtin_presets (18 preset parse),46349
2026-04-02T08:38:58Z,1.0.2,assemble_team (5 members, 20 agents),23928
2026-04-02T08:38:58Z,1.0.2,load_preset_from_json (5 agents),2304
2026-04-02T08:38:58Z,1.0.2,CrewStateManager::create_run (3 nodes),1120
2026-04-02T08:38:58Z,1.0.2,CrewStateManager::reach_barrier (3 nodes),540
2026-04-02T08:38:58Z,1.0.2,FleetCoordinator::fan_out (10 tasks, 3 nodes),2845
2026-04-02T08:38:58Z,1.0.2,ComputeScheduler::allocate (8 devices),90
2026-04-02T08:38:58Z,1.0.2,ComputeScheduler::release (8 devices),39
2026-04-02T08:38:58Z,1.0.2,IPC round-trip (single message),90663
2026-04-02T08:38:58Z,1.0.2,IPC throughput (100 msgs, same conn),1792600
2026-04-02T08:38:58Z,1.0.2,IPC large payload (1 MiB JSON),3579500
2026-04-02T08:38:58Z,1.0.2,CapabilityScorer::record (50 caps),47
2026-04-02T08:38:58Z,1.0.2,CapabilityScorer::confidence (50 caps),18
2026-04-02T08:38:58Z,1.0.2,Ucb1::select (10 arms)  time:   [41.589 ns 41.686 ns 41.790 ns],42
2026-04-02T08:38:58Z,1.0.2,Ucb1::select (50 arms)  time:   [225.27 ns 225.64 ns 226.02 ns],226
2026-04-02T08:38:58Z,1.0.2,ReplayBuffer::push (1000 cap, full),560
2026-04-02T08:38:58Z,1.0.2,ReplayBuffer::sample(32) from 1000,36571
2026-04-02T08:38:58Z,1.0.2,QLearner::update (1000 state-actions),451
2026-04-02T08:38:58Z,1.0.2,QLearner::best_action (1000 state-actions),483
2026-04-02T08:38:58Z,1.0.2,PerformanceProfile::record (20 agents),9686
2026-04-02T08:38:58Z,1.0.2,PerformanceProfile::success_rate (20 agents),45
2026-04-02T08:38:58Z,1.0.2,llm_router_route/route (all 21 combinations),60
2026-04-02T08:38:58Z,1.0.2,llm_router_route/route (Summarize × Simple),2
2026-04-02T08:38:58Z,1.0.2,llm_router_route/route (Research × Complex),3
2026-04-02T08:38:58Z,1.0.2,llm_router_parse_complexity/parse_complexity("low"),2
2026-04-02T08:38:58Z,1.0.2,llm_router_parse_complexity/parse_complexity("simple"),3
2026-04-02T08:38:58Z,1.0.2,llm_router_parse_complexity/parse_complexity("medium"),2
2026-04-02T08:38:58Z,1.0.2,llm_router_parse_complexity/parse_complexity("high"),2
2026-04-02T08:38:58Z,1.0.2,llm_router_parse_complexity/parse_complexity("complex"),3
2026-04-02T08:38:58Z,1.0.2,llm_router_parse_complexity/parse_complexity("HIGH"),3
2026-04-02T08:38:58Z,1.0.2,llm_router_parse_complexity/parse_complexity("unknown"),2
2026-04-02T08:38:58Z,1.0.2,Orchestrator::new       time:   [641.83 ns 646.47 ns 651.72 ns],646
2026-04-02T08:38:58Z,1.0.2,run_crew (1 task, sequential, placeholder),16667
2026-04-02T08:38:58Z,1.0.2,run_crew (10 tasks, sequential, placeholder),72159
2026-04-02T08:38:58Z,1.0.2,run_crew (10 tasks, parallel max_concurrency=4),65187
2026-04-02T08:38:58Z,1.0.2,pick_best_agent (10 agents, rank + select),602
2026-04-02T08:38:58Z,1.0.2,place GpuAffinity (50 nodes),1087
2026-04-02T08:38:58Z,1.0.2,place Balanced (50 nodes),1522
2026-04-02T08:38:58Z,1.0.2,place Locality (50 nodes, 3 caps),2659
2026-04-02T08:38:58Z,1.0.2,place HW requirement (50 nodes),1224
2026-04-02T08:38:58Z,1.0.2,rank_nodes GpuAffinity (200 nodes),5441
2026-04-02T08:38:58Z,1.0.2,rank_nodes Cost (200 nodes),8017
2026-04-02T08:38:58Z,1.0.2,prompt_guard::scan_input (clean 500-char),14999
2026-04-02T08:38:58Z,1.0.2,prompt_guard::scan_input (suspicious 500-char),454
2026-04-02T08:38:58Z,1.0.2,prompt_guard::sanitize (clean 500-char),14492
2026-04-02T08:38:58Z,1.0.2,matches_pattern (literal),74
2026-04-02T08:38:58Z,1.0.2,matches_pattern (single *),66
2026-04-02T08:38:58Z,1.0.2,matches_pattern (multi-level #),109
2026-04-02T08:38:58Z,1.0.2,matches_pattern (10 segments, mixed wildcards),251
2026-04-02T08:38:58Z,1.0.2,PubSub::publish (1 subscriber),765
2026-04-02T08:38:58Z,1.0.2,PubSub::publish (10 subscribers),1053
2026-04-02T08:38:58Z,1.0.2,PubSub::publish (100 subscribers),1253
2026-04-02T08:38:58Z,1.0.2,PubSub::subscribe (new pattern),285
2026-04-02T08:38:58Z,1.0.2,Relay::send throughput  time:   [139.56 ns 140.10 ns 140.66 ns],140
2026-04-02T08:38:58Z,1.0.2,Relay::send (64 KiB payload),6026
2026-04-02T08:38:58Z,1.0.2,Relay::receive (no dupes),196
2026-04-02T08:38:58Z,1.0.2,Relay::receive (50% dupes),154
2026-04-02T08:38:58Z,1.0.2,Relay::broadcast throughput,134
2026-04-02T08:38:58Z,1.0.2,Relay::stats (after 100 sends),4
2026-04-02T08:38:58Z,1.0.2,satisfies (10 devices, CUDA req),57
2026-04-02T08:38:58Z,1.0.2,satisfies (10 devices, empty req),2
2026-04-02T08:38:58Z,1.0.2,satisfies (1 device, CUDA req),9
2026-04-02T08:38:58Z,1.0.2,devices_of_type CUDA (10 devices),70
2026-04-02T08:38:58Z,1.0.2,total_memory_mb CUDA (10 devices),57
2026-04-02T08:38:58Z,1.0.2,from_hwaccel (8 GPUs + CPU),38181
2026-04-02T08:38:58Z,1.0.2,ProcessSandbox::execute_argv (echo),524880
2026-04-02T08:38:58Z,1.0.2,ProcessSandbox::execute_argv (cat stdin),542560
2026-04-02T08:38:58Z,1.0.2,ProcessSandbox::execute (shell echo),1132100
2026-04-02T08:38:58Z,1.0.2,WasmSandbox::execute (hello stdout),50688000
2026-04-02T08:38:58Z,1.0.2,scheduler_priority/enqueue 100 tasks,10929
2026-04-02T08:38:58Z,1.0.2,scheduler_priority/dequeue 100 tasks (priority order),3822
2026-04-02T08:38:58Z,1.0.2,scheduler_dag/load_dag linear (50 tasks),32908
2026-04-02T08:38:58Z,1.0.2,scheduler_dag/load_dag linear (500 tasks),337330
